,Reference Name,Heading,Formula,converted_formulas
10,P9,REIT or Property Company,"IF((AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601010 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601050 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601030 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601025 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601040 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601060 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601070 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601080 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=404020 OR AVAIL(GD_CLASS_GICS(SUB,NUM,0),SBE_CLASS_GICS(0,SUBIND,NUM,CLOSE),SP_CLASS_GICS(0,SUB,NUMBER,CLOSE))=40401010)=1,""REIT"",IF((AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=602010 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601020 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=404030 OR AVAIL(GD_CLASS_GICS(SUB,NUM,0),SBE_CLASS_GICS(0,SUBIND,NUM,CLOSE),SP_CLASS_GICS(0,SUB,NUMBER,CLOSE))=40401020)=1,""PROPERTY COMPANY"",""OTHER""))","IF((AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601010 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601050 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601030 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601025 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601040 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601060 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601070 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601080 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=404020 OR AVAIL(GD_CLASS_GICS(SUB,NUM,0),SBE_CLASS_GICS(0,SUBIND,NUM,CLOSE),SP_CLASS_GICS(0,SUB,NUMBER,CLOSE))=40401010)=1,""REIT"",IF((AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=602010 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601020 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=404030 OR AVAIL(GD_CLASS_GICS(SUB,NUM,0),SBE_CLASS_GICS(0,SUBIND,NUM,CLOSE),SP_CLASS_GICS(0,SUB,NUMBER,CLOSE))=40401020)=1,""PROPERTY COMPANY"",""OTHER""))"
11,P10,REIT/Mortgage REIT or Property Company,"IF((AVAIL(GD_CLASS_GICS(SUB,NUM,0),SBE_CLASS_GICS(0,SUBIND,NUM,CLOSE),SP_CLASS_GICS(0,SUB,NUMBER,CLOSE))=40402030 OR AVAIL(GD_CLASS_GICS(SUB,NUM,0),SBE_CLASS_GICS(0,SUBIND,NUM,CLOSE),SP_CLASS_GICS(0,SUB,NUMBER,CLOSE))=40204010)=1,""MORTGAGE REIT"",IF((AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601010 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601050 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601030 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601025 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601040 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601060 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601070 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601080 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=404020 OR AVAIL(GD_CLASS_GICS(SUB,NUM,0),SBE_CLASS_GICS(0,SUBIND,NUM,CLOSE),SP_CLASS_GICS(0,SUB,NUMBER,CLOSE))=40401010)=1,""REIT"",IF((AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=602010 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601020 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=404030 OR AVAIL(GD_CLASS_GICS(SUB,NUM,0),SBE_CLASS_GICS(0,SUBIND,NUM,CLOSE),SP_CLASS_GICS(0,SUB,NUMBER,CLOSE))=40401020)=1,""PROPERTY COMPANY"",""OTHER"")))","IF((AVAIL(GD_CLASS_GICS(SUB,NUM,0),SBE_CLASS_GICS(0,SUBIND,NUM,CLOSE),SP_CLASS_GICS(0,SUB,NUMBER,CLOSE))=40402030 OR AVAIL(GD_CLASS_GICS(SUB,NUM,0),SBE_CLASS_GICS(0,SUBIND,NUM,CLOSE),SP_CLASS_GICS(0,SUB,NUMBER,CLOSE))=40204010)=1,""MORTGAGE REIT"",IF((AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601010 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601050 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601030 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601025 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601040 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601060 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601070 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601080 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=404020 OR AVAIL(GD_CLASS_GICS(SUB,NUM,0),SBE_CLASS_GICS(0,SUBIND,NUM,CLOSE),SP_CLASS_GICS(0,SUB,NUMBER,CLOSE))=40401010)=1,""REIT"",IF((AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=602010 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601020 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=404030 OR AVAIL(GD_CLASS_GICS(SUB,NUM,0),SBE_CLASS_GICS(0,SUBIND,NUM,CLOSE),SP_CLASS_GICS(0,SUB,NUMBER,CLOSE))=40401020)=1,""PROPERTY COMPANY"",""OTHER"")))"
12,P11,UNIVERSE,"(ISON_RUSSELL_IDX(0,1000,CLOSE)=1 AND (#P.P10=""MORTGAGE REIT"" OR #P.P10=""PROPERTY COMPANY"")=0)=1","(ISON_RUSSELL_IDX(0,1000,CLOSE)=1 AND ((IF((AVAIL(GD_CLASS_GICS(SUB,NUM,0),SBE_CLASS_GICS(0,SUBIND,NUM,CLOSE),SP_CLASS_GICS(0,SUB,NUMBER,CLOSE))=40402030 OR AVAIL(GD_CLASS_GICS(SUB,NUM,0),SBE_CLASS_GICS(0,SUBIND,NUM,CLOSE),SP_CLASS_GICS(0,SUB,NUMBER,CLOSE))=40204010)=1,""MORTGAGE REIT"",IF((AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601010 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601050 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601030 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601025 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601040 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601060 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601070 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601080 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=404020 OR AVAIL(GD_CLASS_GICS(SUB,NUM,0),SBE_CLASS_GICS(0,SUBIND,NUM,CLOSE),SP_CLASS_GICS(0,SUB,NUMBER,CLOSE))=40401010)=1,""REIT"",IF((AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=602010 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601020 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=404030 OR AVAIL(GD_CLASS_GICS(SUB,NUM,0),SBE_CLASS_GICS(0,SUBIND,NUM,CLOSE),SP_CLASS_GICS(0,SUB,NUMBER,CLOSE))=40401020)=1,""PROPERTY COMPANY"",""OTHER""))))=""MORTGAGE REIT"" OR (IF((AVAIL(GD_CLASS_GICS(SUB,NUM,0),SBE_CLASS_GICS(0,SUBIND,NUM,CLOSE),SP_CLASS_GICS(0,SUB,NUMBER,CLOSE))=40402030 OR AVAIL(GD_CLASS_GICS(SUB,NUM,0),SBE_CLASS_GICS(0,SUBIND,NUM,CLOSE),SP_CLASS_GICS(0,SUB,NUMBER,CLOSE))=40204010)=1,""MORTGAGE REIT"",IF((AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601010 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601050 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601030 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601025 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601040 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601060 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601070 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601080 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=404020 OR AVAIL(GD_CLASS_GICS(SUB,NUM,0),SBE_CLASS_GICS(0,SUBIND,NUM,CLOSE),SP_CLASS_GICS(0,SUB,NUMBER,CLOSE))=40401010)=1,""REIT"",IF((AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=602010 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=601020 OR AVAIL(GD_CLASS_GICS(IND,NUM,0),SBE_CLASS_GICS(0,IND,NUM,CLOSE),SP_CLASS_GICS(0,IND,NUMBER,CLOSE))=404030 OR AVAIL(GD_CLASS_GICS(SUB,NUM,0),SBE_CLASS_GICS(0,SUBIND,NUM,CLOSE),SP_CLASS_GICS(0,SUB,NUMBER,CLOSE))=40401020)=1,""PROPERTY COMPANY"",""OTHER""))))=""PROPERTY COMPANY"")=0)=1"
13,P12,RF - Earnings to Price,FDE_EP,FDE_EP
14,P13,RF - Forecast Earnings to Price (NTM),FDE_EP_NTM,FDE_EP_NTM
15,P14,RF - FY2 EPS to Price,FDE_EP_FY2,FDE_EP_FY2
16,P15,RF - AFFO/Price - REITs,FDE_REIT_AFFO_TO_PRICE,FDE_REIT_AFFO_TO_PRICE
17,P16,RF - EBITDA to EV,FDE_EBITDA_EV,FDE_EBITDA_EV
18,P17,RF - Book to Price,FDE_BP,FDE_BP
19,P18,RF - Sales to EV,FDE_SALES_EV,FDE_SALES_EV
